Name: John Ian Wing Parade, Instruction: Head southeast on John Ian Wing Parade, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 133.9 meters, Time: 96.4 seconds
Name: -, Instruction: Turn right, Distance: 258.0 meters, Time: 185.7 seconds
Name: -, Instruction: Keep left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Edwin Flack Avenue, Instruction: Turn left onto Edwin Flack Avenue, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 210.1 meters, Time: 151.3 seconds
Name: -, Instruction: Turn slight left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Keep right, Distance: 738.2 meters, Time: 531.5 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Kevin Coombs Avenue, Instruction: Turn left onto Kevin Coombs Avenue, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at Kevin Coombs Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
