Name: Colac Place, Instruction: Head northwest on Colac Place, Distance: 37.3 meters, Time: 26.8 seconds
Name: Caratel Crescent, Instruction: Turn right onto Caratel Crescent, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Keep left, Distance: 215.5 meters, Time: 155.1 seconds
Name: -, Instruction: Keep left, Distance: 375.4 meters, Time: 270.3 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 228.6 meters, Time: 164.6 seconds
Name: Breakfast Creek Shared Path, Instruction: Turn slight left onto Breakfast Creek Shared Path, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Continue straight, Distance: 412.2 meters, Time: 296.8 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: Greendale Terrace, Instruction: Turn left onto Greendale Terrace, Distance: 72.1 meters, Time: 51.9 seconds
Name: Greendale Terrace, Instruction: Turn right onto Greendale Terrace, Distance: 161.2 meters, Time: 116.1 seconds
Name: -, Instruction: Arrive at Greendale Terrace, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
