Name: Centenary Square, Instruction: Head south on Centenary Square, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: Church Street, Instruction: Turn right onto Church Street, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep left, Distance: 339.1 meters, Time: 244.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 487.3 meters, Time: 350.8 seconds
Name: -, Instruction: Keep left, Distance: 73.0 meters, Time: 52.6 seconds
Name: -, Instruction: Turn slight right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Wigram Street, Instruction: Turn right onto Wigram Street, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 87.7 meters, Time: 63.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
