Name: Atlee Street, Instruction: Head southeast on Atlee Street, Distance: 68.7 meters, Time: 49.5 seconds
Name: Bartlett Street, Instruction: Turn left onto Bartlett Street, Distance: 223.9 meters, Time: 161.2 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 387.8 meters, Time: 279.2 seconds
Name: -, Instruction: Turn left, Distance: 372.2 meters, Time: 268.0 seconds
Name: -, Instruction: Turn right, Distance: 223.1 meters, Time: 160.6 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 147.1 meters, Time: 105.9 seconds
Name: Fuchsia Way, Instruction: Turn left onto Fuchsia Way, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
