Name: Deerubbin Drive, Instruction: Head east on Deerubbin Drive, Distance: 81.2 meters, Time: 58.5 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn right, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: Glenmore Ridge Drive, Instruction: Turn right onto Glenmore Ridge Drive, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 99.0 meters, Time: 71.2 seconds
Name: -, Instruction: Turn right, Distance: 84.9 meters, Time: 61.1 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Sandstone Avenue, Instruction: Turn left onto Sandstone Avenue, Distance: 124.4 meters, Time: 89.6 seconds
Name: Ridgetop Drive, Instruction: Turn right onto Ridgetop Drive, Distance: 81.2 meters, Time: 58.5 seconds
Name: Kingsfield Avenue, Instruction: Turn left onto Kingsfield Avenue, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 304.2 meters, Time: 219.0 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 303.0 meters, Time: 218.1 seconds
Name: -, Instruction: Turn right, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
