Name: Dorothy Street, Instruction: Head south on Dorothy Street, Distance: 252.3 meters, Time: 181.6 seconds
Name: -, Instruction: Turn left, Distance: 227.7 meters, Time: 164.0 seconds
Name: Warra Street, Instruction: Turn right onto Warra Street, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.8 seconds
Name: Strickland Place, Instruction: Turn right onto Strickland Place, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: Bourne Street, Instruction: Turn slight right onto Bourne Street, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn left, Distance: 276.7 meters, Time: 199.2 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.7 seconds
Name: Garfield Street, Instruction: Turn right onto Garfield Street, Distance: 491.6 meters, Time: 353.9 seconds
Name: -, Instruction: Arrive at Garfield Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
