Name: Marion Street, Instruction: Head northwest on Marion Street, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 263.2 meters, Time: 189.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 113.7 meters, Time: 81.9 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: Harris Street, Instruction: Turn right onto Harris Street, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn slight left, Distance: 35.5 meters, Time: 25.5 seconds
Name: M4 Shared Path, Instruction: Turn right onto M4 Shared Path, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 331.3 meters, Time: 238.5 seconds
Name: -, Instruction: Turn right, Distance: 213.7 meters, Time: 153.8 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 66.0 meters, Time: 47.5 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 117.0 meters, Time: 84.3 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
