Name: アニメイト通り, Instruction: Head northeast on アニメイト通り, Distance: 60.7 meters, Time: 43.7 seconds
Name: 美久仁小路, Instruction: Turn right onto 美久仁小路, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn slight right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Keep left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 171.1 meters, Time: 123.2 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Turn left, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Continue straight, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn right, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Keep left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Continue straight, Distance: 13.5 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 62.6 meters, Time: 45.1 seconds
Name: -, Instruction: Turn slight left, Distance: 105.6 meters, Time: 76.0 seconds
Name: 折戸通り, Instruction: Turn left onto 折戸通り, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
