Name: 中丸通り, Instruction: Head northwest on 中丸通り, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 99.4 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 310.0 meters, Time: 223.2 seconds
Name: -, Instruction: Turn left, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn left, Distance: 223.7 meters, Time: 161.1 seconds
Name: -, Instruction: Continue straight, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Turn right, Distance: 195.8 meters, Time: 141.0 seconds
Name: -, Instruction: Turn left, Distance: 274.5 meters, Time: 197.6 seconds
Name: -, Instruction: Turn right, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn left, Distance: 103.8 meters, Time: 74.7 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.7 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
