Name: Sheppard Street, Instruction: Head south on Sheppard Street, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn right, Distance: 385.8 meters, Time: 277.7 seconds
Name: -, Instruction: Turn left, Distance: 164.1 meters, Time: 118.1 seconds
Name: Canada's Walk of Fame, Instruction: Turn right onto Canada's Walk of Fame, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn slight left, Distance: 8.0 meters, Time: 5.8 seconds
Name: PATH, Instruction: Turn slight left onto PATH, Distance: 14.2 meters, Time: 10.2 seconds
Name: PATH, Instruction: Turn slight right onto PATH, Distance: 42.4 meters, Time: 30.6 seconds
Name: PATH, Instruction: Turn slight left onto PATH, Distance: 42.9 meters, Time: 30.9 seconds
Name: PATH, Instruction: Turn right onto PATH, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Arrive at PATH, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
