Name: Mallory Crescent, Instruction: Head north on Mallory Crescent, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 29.0 seconds
Name: Astor Avenue, Instruction: Turn left onto Astor Avenue, Distance: 235.9 meters, Time: 169.8 seconds
Name: Sutherland Drive, Instruction: Turn right onto Sutherland Drive, Distance: 77.3 meters, Time: 55.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Rolph Road, Instruction: Turn left onto Rolph Road, Distance: 194.3 meters, Time: 139.9 seconds
Name: Rumsey Road, Instruction: Turn right onto Rumsey Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 117.9 meters, Time: 84.9 seconds
Name: Hanna Road, Instruction: Turn left onto Hanna Road, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
