Name: Primrose Avenue, Instruction: Head north on Primrose Avenue, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn right, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn right, Distance: 137.5 meters, Time: 99.0 seconds
Name: -, Instruction: Keep left, Distance: 7.7 meters, Time: 5.5 seconds
Name: Lightbourn Avenue, Instruction: Turn left onto Lightbourn Avenue, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Keep left, Distance: 174.8 meters, Time: 125.9 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: Beaver Avenue, Instruction: Turn right onto Beaver Avenue, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn right, Distance: 124.5 meters, Time: 89.7 seconds
Name: -, Instruction: Keep left, Distance: 115.5 meters, Time: 83.2 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
