Name: Curzon Street, Instruction: Head south on Curzon Street, Distance: 31.1 meters, Time: 22.4 seconds
Name: Leslie Garden Lane, Instruction: Turn left onto Leslie Garden Lane, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 49.4 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 95.8 meters, Time: 69.0 seconds
Name: Leslie Street, Instruction: Turn right onto Leslie Street, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 855.5 meters, Time: 616.0 seconds
Name: -, Instruction: Keep right, Distance: 75.2 meters, Time: 54.1 seconds
Name: -, Instruction: Keep right, Distance: 126.1 meters, Time: 90.8 seconds
Name: -, Instruction: Turn slight right, Distance: 89.1 meters, Time: 64.2 seconds
Name: -, Instruction: Keep right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 314.3 meters, Time: 226.3 seconds
Name: -, Instruction: Keep left, Distance: 210.2 meters, Time: 151.4 seconds
Name: -, Instruction: Keep right, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Turn slight left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight right, Distance: 209.6 meters, Time: 150.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
