Name: Pemberton Street, Instruction: Head southeast on Pemberton Street, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Keep left, Distance: 125.1 meters, Time: 90.1 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 170.0 meters, Time: 122.4 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 365.3 meters, Time: 263.0 seconds
Name: -, Instruction: Turn left, Distance: 911.9 meters, Time: 656.6 seconds
Name: -, Instruction: Turn slight right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 411.9 meters, Time: 296.6 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
