Name: Spruce Street, Instruction: Head east on Spruce Street, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 565.5 meters, Time: 407.2 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 412.2 meters, Time: 296.8 seconds
Name: -, Instruction: Keep left, Distance: 459.6 meters, Time: 330.9 seconds
Name: -, Instruction: Turn right, Distance: 315.8 meters, Time: 227.3 seconds
Name: Maple Avenue, Instruction: Turn left onto Maple Avenue, Distance: 14.9 meters, Time: 10.7 seconds
Name: Sherbourne Street North, Instruction: Turn right onto Sherbourne Street North, Distance: 181.4 meters, Time: 130.6 seconds
Name: South Drive, Instruction: Turn left onto South Drive, Distance: 81.4 meters, Time: 58.6 seconds
Name: Scarth Road, Instruction: Turn right onto Scarth Road, Distance: 224.5 meters, Time: 161.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Keep left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
