Name: Barker Avenue, Instruction: Head east on Barker Avenue, Distance: 5.8 meters, Time: 4.2 seconds
Name: Gledhill Avenue, Instruction: Turn right onto Gledhill Avenue, Distance: 1282.7 meters, Time: 923.5 seconds
Name: Oakcrest Avenue, Instruction: Turn right onto Oakcrest Avenue, Distance: 247.6 meters, Time: 178.3 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn left, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight right, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Turn right, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Golfview Avenue, Instruction: Turn sharp right onto Golfview Avenue, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at Golfview Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
