Name: Shaw Street, Instruction: Head north on Shaw Street, Distance: 224.9 meters, Time: 161.9 seconds
Name: -, Instruction: Turn right, Distance: 100.6 meters, Time: 72.4 seconds
Name: Crawford Street, Instruction: Turn left onto Crawford Street, Distance: 164.3 meters, Time: 118.3 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 338.7 meters, Time: 243.8 seconds
Name: -, Instruction: Keep left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 172.0 meters, Time: 123.9 seconds
Name: -, Instruction: Turn right, Distance: 96.6 meters, Time: 69.6 seconds
Name: Jersey Avenue, Instruction: Turn left onto Jersey Avenue, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
