Name: Elwood Boulevard, Instruction: Head west on Elwood Boulevard, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.7 seconds
Name: Willowbank Boulevard, Instruction: Turn right onto Willowbank Boulevard, Distance: 196.2 meters, Time: 141.3 seconds
Name: Castle Knock Road, Instruction: Turn left onto Castle Knock Road, Distance: 86.9 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 175.6 meters, Time: 126.4 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 294.4 meters, Time: 212.0 seconds
Name: Chaplin Crescent, Instruction: Turn right onto Chaplin Crescent, Distance: 391.3 meters, Time: 281.7 seconds
Name: -, Instruction: Arrive at Chaplin Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
