Name: Harshaw Avenue, Instruction: Head southeast on Harshaw Avenue, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Continue straight, Distance: 395.9 meters, Time: 285.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 270.7 meters, Time: 194.9 seconds
Name: -, Instruction: Keep left, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Keep left, Distance: 185.8 meters, Time: 133.8 seconds
Name: -, Instruction: Keep left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 129.1 meters, Time: 92.9 seconds
Name: -, Instruction: Keep left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Keep right, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Keep right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
