Name: Maynard Avenue, Instruction: Head south on Maynard Avenue, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 690.3 meters, Time: 497.0 seconds
Name: -, Instruction: Turn left, Distance: 194.0 meters, Time: 139.7 seconds
Name: -, Instruction: Keep right, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Sunnyside Avenue, Instruction: Turn right onto Sunnyside Avenue, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Keep left, Distance: 20.1 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Glendale Avenue, Instruction: Continue straight onto Glendale Avenue, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Garden Avenue, Instruction: Turn sharp left onto Garden Avenue, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
